Gene,liver_nTPM_value,Classification,confidence_score
SDC2,445.9,liver protein (all 3),90
SHMT1,388.8,liver protein (all 3),90
EPHX2,322.9,liver protein (all 3),90
SAA4,1879.5,liver protein (all 3),100
PCK1,664.7,liver protein (nTPM + cluster),70
HMGCL,314.7,liver protein (all 3),90
UGT2B10,226.6,liver protein (all 3),90
CFHR2,1309.3,liver protein (all 3),100
COL18A1,548.3,liver protein (all 3),95
NNMT,379.3,liver protein (nTPM + cluster),65
ACAA2,981.1,liver protein (all 3),95
AFM,932.0,liver protein (all 3),95
ACADSB,349.2,liver protein (all 3),90
HAAO,286.8,liver protein (all 3),90
TDO2,767.4,liver protein (nTPM + cluster),70
FMO5,662.6,liver protein (all 3),95
SELENOP,6077.3,liver protein (all 3),100
MTHFS,247.1,liver protein (all 3),90
HNMT,238.2,liver protein (all 3),90
SULT1A1,221.4,liver protein (all 3),90
ALDH3A2,279.3,liver protein (all 3),90
HSD17B4,320.3,liver protein (all 3),90
AKR1D1,413.9,liver protein (all 3),90
RIDA,1488.9,liver protein (all 3),100
AKR1C2,469.5,liver protein (nTPM + cluster),65
UGT2B15,282.4,liver protein (all 3),90
HMGCS2,2359.8,liver protein (all 3),100
APOC4,607.5,liver protein (all 3),95
TMBIM6,1748.2,liver protein (all 3),100
MTTP,258.5,liver protein (nTPM + cluster),65
PCBD1,415.8,liver protein (all 3),90
GSTO1,636.8,liver protein (nTPM + cluster),70
MT1H,1109.0,liver protein (nTPM + cluster),75
ABAT,335.3,liver protein (all 3),90
RBP5,316.3,liver protein (all 3),90
MAT1A,1305.8,liver protein (all 3),100
SORD,262.8,liver protein (all 3),90
HMGCS1,379.0,liver protein (nTPM + cluster),65
ALDH6A1,355.6,liver protein (all 3),90
CYP27A1,576.0,liver protein (all 3),95
BDH1,313.1,liver protein (all 3),90
CYP4A11,824.3,liver protein (all 3),95
CFHR3,381.0,liver protein (nTPM + cluster),65
CFHR1,2010.5,liver protein (all 3),100
HGFAC,211.9,liver protein (nTPM + cluster),65
AKR1C1,603.1,liver protein (nTPM + cluster),70
ITIH3,828.4,liver protein (nTPM + cluster),70
AOX1,864.2,liver protein (all 3),95
SULT2A1,1043.0,liver protein (nTPM + cluster),75
CRYZ,274.1,liver protein (all 3),90
EHHADH,334.1,liver protein (all 3),90
CYP4F3,230.0,liver protein (all 3),90
FGL1,4058.4,liver protein (nTPM + cluster),75
ACSM2A,351.8,liver protein (all 3),90
SPP2,502.9,liver protein (all 3),95
APOF,404.0,liver protein (all 3),90
BAAT,699.4,liver protein (all 3),95
DPYS,463.1,liver protein (all 3),90
HABP2,424.0,liver protein (all 3),90
ITIH4,1807.4,liver protein (all 3),100
PTGR1,576.1,liver protein (nTPM + cluster),70
SLC10A1,413.9,liver protein (all 3),90
SLC39A14,537.7,liver protein (nTPM + cluster),70
EBP,318.4,liver protein (all 3),90
PON3,598.0,liver protein (all 3),95
RGN,372.1,liver protein (all 3),90
MSMO1,558.3,liver protein (nTPM + cluster),70
TST,547.5,liver protein (all 3),95
PCK2,365.0,liver protein (all 3),90
TMEM176B,1609.3,liver protein (all 3),100
NADK2,318.2,liver protein (all 3),90
TTC38,227.9,liver protein (nTPM + cluster),65
CYP4A22,207.4,liver protein (all 3),90
CREB3L3,405.1,liver protein (nTPM + cluster),65
ACSM2B,510.9,liver protein (all 3),95
GLYAT,676.1,liver protein (all 3),95
ACSM5,268.1,liver protein (all 3),90
APOA5,567.7,liver protein (nTPM + cluster),70
DCXR,1806.9,liver protein (all 3),100
HSD17B13,556.3,liver protein (all 3),95
SERPINA11,475.6,liver protein (all 3),90
OAF,387.0,liver protein (nTPM + cluster),65
SLC13A5,403.8,liver protein (nTPM + cluster),65
GLYCTK,268.5,liver protein (all 3),90
ORMDL3,228.8,liver protein (all 3),90
MT1M,548.4,liver protein (nTPM + cluster),70
HSD17B11,234.5,liver protein (all 3),90
TSKU,230.2,liver protein (nTPM + cluster),65
BHMT,1107.8,liver protein (all 3),100
HGD,729.7,liver protein (nTPM + cluster),70
GLYATL1,527.0,liver protein (all 3),95
SLC38A4,591.5,liver protein (all 3),95
MTARC2,216.4,liver protein (all 3),90
ISOC2,277.3,liver protein (nTPM + cluster),65
CERS2,709.3,liver protein (all 3),95
TMEM176A,1133.6,liver protein (all 3),100
SUCLG2,269.6,liver protein (all 3),90
CPB2,1439.0,liver protein (all 3),100
PGLYRP2,250.7,liver protein (all 3),90
DGAT2,321.2,liver protein (all 3),90
PLIN2,877.8,liver protein (nTPM + cluster),70
SEPHS2,390.4,liver protein (all 3),90
SLC38A3,321.4,liver protein (all 3),90
MGST2,380.5,liver protein (nTPM + cluster),65
NIPSNAP1,282.9,liver protein (all 3),90
VKORC1,443.7,liver protein (nTPM + cluster),65
ADI1,572.8,liver protein (all 3),95
ACAT2,224.4,liver protein (all 3),90
ALDH8A1,239.6,liver protein (all 3),90
BHMT2,416.7,liver protein (all 3),90
LIME1,237.0,liver protein (all 3),90
APMAP,306.2,liver protein (all 3),90
MLXIPL,595.0,liver protein (nTPM + cluster),70
SLCO1B3,256.8,liver protein (all 3),90
IL1RAP,218.9,liver protein (nTPM + cluster),65
PXMP2,304.4,liver protein (all 3),90
ETNK2,227.8,liver protein (all 3),90
AIG1,228.2,liver protein (all 3),90
HAO2,412.4,liver protein (all 3),90
MSRB1,228.5,liver protein (nTPM + cluster),65
PIPOX,491.1,liver protein (all 3),90
GRHPR,632.6,liver protein (all 3),95
UPB1,210.8,liver protein (all 3),90
FETUB,227.3,liver protein (all 3),90
CIDEB,464.9,liver protein (nTPM + cluster),65
DMGDH,275.3,liver protein (all 3),90
HAO1,589.2,liver protein (all 3),95
SERPINA10,338.3,liver protein (all 3),90
CYP8B1,392.2,liver protein (all 3),90
TFR2,337.4,liver protein (all 3),90
MGAT4B,270.4,liver protein (nTPM + cluster),65
SLC27A5,999.1,liver protein (all 3),95
RCL1,238.1,liver protein (nTPM + cluster),65
STARD10,692.6,liver protein (all 3),95
ANGPTL3,655.3,liver protein (all 3),95
SLC22A7,417.7,liver protein (all 3),90
SLCO1B1,521.0,liver protein (all 3),95
