Gene,liver_nTPM_value
EHHADH,334.1
CYP4F3,230.0
ACSM2A,351.8
SPP2,502.9
APOF,404.0
BAAT,699.4
DPYS,463.1
HABP2,424.0
ITIH4,1807.4
SLC10A1,413.9
ACOX1,117.5
EBP,318.4
PON3,598.0
RGN,372.1
TST,547.5
PCK2,365.0
CYP51A1,196.0
TKFC,112.3
TMEM176B,1609.3
NADK2,318.2
ACSM3,172.5
COBLL1,104.4
CYP4A22,207.4
STEAP3,184.9
ACSM2B,510.9
GLYAT,676.1
ACSM5,268.1
TMEM220,100.5
AGMO,118.6
CYP4V2,110.0
DCXR,1806.9
HSD17B13,556.3
SERPINA11,475.6
TMPRSS6,125.3
GLYCTK,268.5
CD302,188.0
ORMDL3,228.8
ZGPAT,120.6
HSD17B11,234.5
ACMSD,157.5
PANK1,106.9
GGH,183.1
PRG4,180.2
BHMT,1107.8
GLYATL1,527.0
SLC38A4,591.5
MTARC2,216.4
ECHDC3,157.6
SLC47A1,100.6
CERS2,709.3
FAHD2A,112.0
TMEM176A,1133.6
DHTKD1,125.5
SUCLG2,269.6
CPB2,1439.0
TLCD4,126.0
UROC1,113.9
PGLYRP2,250.7
DGAT2,321.2
ACOX2,171.9
SEPHS2,390.4
SLC38A3,321.4
NIPSNAP1,282.9
RTP3,115.0
ADI1,572.8
ACAT2,224.4
COLEC11,139.6
CFHR5,162.0
PECR,155.2
AGXT2,119.7
ALDH8A1,239.6
BHMT2,416.7
LIME1,237.0
MCCC2,113.6
GPAM,139.8
APMAP,306.2
SLCO1B3,256.8
A1CF,148.5
PXMP2,304.4
ETNK2,227.8
AIG1,228.2
HAO2,412.4
C1RL,138.4
PIPOX,491.1
GRHPR,632.6
UPB1,210.8
SLC25A10,178.9
PRODH2,169.4
FETUB,227.3
AMACR,173.8
DMGDH,275.3
GLS2,198.8
HAO1,589.2
SLC25A13,145.5
SERPINA10,338.3
CYP8B1,392.2
TFR2,337.4
SLC27A5,999.1
DERA,101.4
STARD10,692.6
ANGPTL3,655.3
SLC22A7,417.7
SLCO1B1,521.0
