Gene,RNA tissue specific nTPM,liver_nTPM_value,Tissue expression cluster,RNA tissue cell type enrichment,has_liver_nTPM,has_liver_cluster,has_liver_enrichment,Classification
IGHV4-4,lymphoid tissue: 549.8;urinary bladder: 742.3,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGKV2D-24,intestine: 19.0;lymphoid tissue: 24.6;urinary bladder: 14.7,,,"Adipose visceral - Plasma cells, Breast - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGKV1-37,intestine: 7.9;lymphoid tissue: 16.7;urinary bladder: 5.4,,,"Adipose visceral - Plasma cells, Breast - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,non-liver protein
IGKV3D-11,intestine: 37.2;lymphoid tissue: 56.7;stomach 1: 26.9,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV3-49,intestine: 203.1;lymphoid tissue: 362.0;stomach 1: 176.8;urinary bladder: 96.7,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Testis - Late spermatids, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGKJ1,intestine: 2997.5;lymphoid tissue: 3221.3;salivary gland: 1199.3;stomach 1: 2368.2;urinary bladder: 1082.8,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV6-1,intestine: 430.7,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV3-15,intestine: 186.7;stomach 1: 112.7;urinary bladder: 171.3,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV7-81,intestine: 12.2;lymphoid tissue: 17.7;stomach 1: 12.0,,,"Breast - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,non-liver protein
IGHV3-74,esophagus: 84.4;salivary gland: 73.5;urinary bladder: 44.9,,,"Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGLV9-49,adrenal gland: 121.1;lymphoid tissue: 114.9,,,"Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGKV3D-20,intestine: 127.0;lymphoid tissue: 267.0,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV1-18,esophagus: 155.7;urinary bladder: 150.1,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV4-28,intestine: 43.5;lymphoid tissue: 84.8;salivary gland: 38.5;stomach 1: 29.9;urinary bladder: 118.6,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV3-35,intestine: 13.7;lymphoid tissue: 12.4;salivary gland: 7.3;stomach 1: 16.3;urinary bladder: 19.8,,,"Adipose visceral - Plasma cells, Breast - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Prostate - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV5-51,urinary bladder: 336.3,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV4-61,intestine: 199.2;lymphoid tissue: 373.6;stomach 1: 138.8,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGKV1-6,intestine: 149.7;lymphoid tissue: 586.5,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV3-64D,intestine: 139.8;lymphoid tissue: 262.8,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
IGHV5-10-1,intestine: 305.4;lymphoid tissue: 548.7,,,"Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,False,non-liver protein
RPSA2,,,,,False,False,False,non-liver protein
RBM47,,,Cluster 55: Kidney & Intestine - Metabolism,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Adrenal gland - Adrenal cortex cells, Breast - Breast glandular cells, Heart muscle - Macrophages, Prostate - Prostate glandular cells, Skeletal muscle - Macrophages, Skin - Sebaceous gland cells, Stomach - Gastric mucous cells, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
UBA6,,,Cluster 40: Non-specific - Transcription,,False,False,False,non-liver protein
ESYT2,,,Cluster 62: Connective tissue - ECM organization,,False,False,False,non-liver protein
IGLC7,intestine: 86.7;lymphoid tissue: 101.3;salivary gland: 68.3;stomach 1: 110.2,,,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells",False,False,True,liver protein_3
SHTN1,brain: 56.2,,Cluster 9: Oligodendrocytes - Myelination,"Adipose subcutaneous - Macrophages, Adrenal gland - Adrenal cortex cells, Spleen - Macrophages, Testis - Sertoli cells",False,False,False,non-liver protein
TMEM82,intestine: 23.7;kidney: 11.2;liver: 51.5,51.5,Cluster 37: Liver & Intestine - Lipid metabolism,"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Stomach - Gastric mucous cells",True,True,True,liver protein (all 3)
ARHGEF37,,,Cluster 9: Oligodendrocytes - Myelination,Breast - Breast glandular cells,False,False,False,non-liver protein
ILVBL,,,Cluster 55: Kidney & Intestine - Metabolism,"Adrenal gland - Adrenal cortex cells, Heart muscle - Cardiomyocytes, Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
C1orf226,liver: 21.4,21.4,Cluster 37: Liver & Intestine - Lipid metabolism,"Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 2",True,True,False,liver protein (nTPM + cluster)
PLEKHG3,,,Cluster 34: Non-specific - Mixed function,"Adrenal gland - Fibroblasts, Heart muscle - Smooth muscle cells",False,False,False,non-liver protein
MT1DP,,,,,False,False,False,non-liver protein
SSC5D,endometrium 1: 38.3,,Cluster 41: Smooth muscle tissue - ECM organization,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Adrenal gland - Fibroblasts, Breast - Fibroblasts, Heart muscle - Fibroblasts, Liver - Hepatic stellate cells, Lung - Fibroblast_2, Minor Salivary Gland - Fibroblasts, Prostate - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Spleen - Fibroblast_2, Stomach - Fibroblasts, Thyroid gland - Fibroblasts",False,False,True,liver protein_3
MACROD2,,,Cluster 64: Neuronal - Transcription,"Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary gland ductal cells",False,False,False,non-liver protein
NBAS,,,Cluster 60: Choroid plexus - Transmembrane transport,"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids, Testis - Spermatocytes, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
TARS3,skeletal muscle: 37.1;tongue: 35.1,,Cluster 54: Non-specific - Basic cellular processes,,False,False,False,non-liver protein
FAM234B,brain: 22.2,,Cluster 17: Neuronal - Synaptic function,"Adipose visceral - Adipose progenitor cells, Skin - Keratinocyte (other), Testis - Spermatocytes, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
DENND3,bone marrow: 105.3,,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,"Spleen - Neutrophils, Testis - Endothelial cells",False,False,False,non-liver protein
FUOM,liver: 222.7,222.7,Cluster 83: Liver - Metabolism,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skeletal muscle - Macrophages",True,True,True,liver protein (all 3)
VWA8,,,Cluster 19: Non-specific - Basic cellular processes,"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
SBNO1,testis: 36.5,,Cluster 4: Testis - Basic cellular processes,"Testis - Spermatocytes, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
WDR91,,,Cluster 38: Salivary gland - Salivary secretion,,False,False,False,non-liver protein
DENND11,,,Cluster 43: Non-specific - Mitochondrial translation,"Liver - Hepatocytes, Stomach - Gastric mucous cells",False,False,True,liver protein_3
MBLAC1,,,Cluster 66: Non-specific - Transcription,,False,False,False,non-liver protein
MTMR11,intestine: 25.9,,Cluster 45: Intestine - Digestion,"Heart muscle - Fibroblasts, Thyroid gland - Fibroblasts",False,False,False,non-liver protein
POTEF,testis: 1.7,,Cluster 42: Testis - Spermatogenesis,Skeletal muscle - Skeletal myocytes,False,False,False,non-liver protein
FITM1,heart muscle: 165.7;skeletal muscle: 216.2,,Cluster 12: Heart muscle - Cardiac muscle contraction,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes",False,False,False,non-liver protein
VPS37C,,,Cluster 48: Stomach - Proteolysis,Skin - Keratinocyte (other),False,False,False,non-liver protein
TRAPPC13,,,Cluster 23: Non-specific - Cellular respiration,Thyroid gland - Thyroid glandular cells,False,False,False,non-liver protein
CNOT1,,,Cluster 4: Testis - Basic cellular processes,"Adrenal gland - Adrenal cortex cells, Testis - Spermatocytes",False,False,False,non-liver protein
ARHGEF35,,,Cluster 24: Parathyroid gland - Vesicular transport,,False,False,False,non-liver protein
C2orf72,brain: 5.6;liver: 18.2,18.2,Cluster 69: Liver - Oxidoreductase activity,"Liver - Hepatocytes, Pituitary gland - Corticotropes, Skin - Eccrine sweat gland cells",True,True,True,liver protein (all 3)
ASPDH,brain: 40.4;kidney: 38.0;liver: 129.3,129.3,Cluster 69: Liver - Oxidoreductase activity,"Adrenal gland - Adrenal medulla cells, Kidney - Proximal tubular cells, Liver - Hepatocytes",True,True,True,liver protein (all 3)
PALM3,kidney: 45.6;liver: 54.4;stomach 1: 29.6,54.4,Cluster 1: Liver & Kidney - Metabolism,,True,True,False,liver protein (nTPM + cluster)
PGP,brain: 56.8;testis: 50.8,,Cluster 78: Testis - Transcription,"Heart muscle - Cardiomyocytes, Testis - Late spermatids",False,False,False,non-liver protein
RIMOC1,,,Cluster 16: Non-specific - Transcription,,False,False,False,non-liver protein
RCCD1,,,Cluster 66: Non-specific - Transcription,,False,False,False,non-liver protein
PLEKHD1,brain: 9.8;parathyroid gland: 5.8;retina: 8.5,,Cluster 28: Neuronal - Transcription,"Breast - Breast glandular cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids, Testis - Late spermatids",False,False,False,non-liver protein
SOWAHB,liver: 18.6,18.6,Cluster 37: Liver & Intestine - Lipid metabolism,"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Liver - Hepatocytes, Lung - Alveolar cells type 2, Thyroid gland - Thyroid glandular cells",True,True,True,liver protein (all 3)
CCDC182,testis: 27.7,,Cluster 10: Testis - Spermatid development,"Testis - Early spermatids, Testis - Late spermatids",False,False,False,non-liver protein
SDHAF1,,,Cluster 43: Non-specific - Mitochondrial translation,,False,False,False,non-liver protein
GLTPD2,liver: 72.0,72.0,Cluster 1: Liver & Kidney - Metabolism,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells",True,True,False,liver protein (nTPM + cluster)
TUBAL3,intestine: 27.5,,Cluster 45: Intestine - Digestion,"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells",False,False,False,non-liver protein
SMCHD1,,,Cluster 70: Lymphoid tissue - Immune response,Testis - Spermatocytes,False,False,False,non-liver protein
NCF1B,,,,,False,False,False,non-liver protein
GLOD5,epididymis: 5.6;intestine: 10.3;kidney: 10.8;liver: 7.9,7.9,Cluster 55: Kidney & Intestine - Metabolism,"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells",True,False,True,liver protein (nTPM + enrichment)
LIPT2,testis: 12.0,,Cluster 72: Testis & Skeletal muscle - Protein ubiquitination,"Heart muscle - Cardiomyocytes, Testis - Early spermatids, Testis - Late spermatids",False,False,False,non-liver protein
CCDC85C,brain: 75.2,,Cluster 80: Non-specific - Endocytosis,,False,False,False,non-liver protein
PCP4L1,brain: 184.3;pituitary gland: 82.0,,Cluster 17: Neuronal - Synaptic function,"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Heart muscle - Smooth muscle cells, Lung - Alveolar cells type 2, Prostate - Urothelial cells, Skin - Sebaceous gland cells, Testis - Peritubular cells",False,False,False,non-liver protein
FAM223B,,,,,False,False,False,non-liver protein
TTC36,liver: 166.0,166.0,Cluster 83: Liver - Metabolism,"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes",True,True,True,liver protein (all 3)
COL6A6,parathyroid gland: 101.5,,Cluster 24: Parathyroid gland - Vesicular transport,"Minor Salivary Gland - Fibroblasts, Pituitary gland - Somatotropes, Skin - Fibroblast_1",False,False,False,non-liver protein
SRRM3,brain: 80.6;retina: 26.4,,Cluster 28: Neuronal - Transcription,"Lung - Fibroblast_2, Pituitary gland - Lactotropes, Testis - Late spermatids",False,False,False,non-liver protein
POM121C,,,Cluster 40: Non-specific - Transcription,,False,False,False,non-liver protein
A2ML1,esophagus: 540.7;vagina: 198.6,,Cluster 29: Squamous epithelium - Innate immune response,"Minor Salivary Gland - Minor salivary gland basal cells, Testis - Sertoli cells",False,False,False,non-liver protein
LYRM9,,,Cluster 33: Brain - Neuronal signaling,Liver - Hepatocytes,False,False,True,liver protein_3
CEBPZOS,,,Cluster 54: Non-specific - Basic cellular processes,,False,False,False,non-liver protein
SNRPGP15,,,,,False,False,False,non-liver protein
MIF4GD,,,Cluster 19: Non-specific - Basic cellular processes,,False,False,False,non-liver protein
MYO1G,bone marrow: 43.1;lymphoid tissue: 26.5,,Cluster 77: Bone marrow - Cell proliferation,"Adipose subcutaneous - T-cells, Adrenal gland - Neutrophils, Breast - T-cells, Kidney - T-cells, Prostate - T-cells, Spleen - T-cells, Thyroid gland - T-cells",False,False,False,non-liver protein
ESPN,liver: 125.7;retina: 114.4;testis: 140.9,125.7,Cluster 39: Retina & Testis - Cilium,"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells, Skin - Keratinocyte (other), Testis - Sertoli cells",True,False,True,liver protein (nTPM + enrichment)
SMIM1,bone marrow: 31.6;heart muscle: 38.9;testis: 41.1,,Cluster 4: Testis - Basic cellular processes,"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Somatotropes, Skin - Eccrine sweat gland cells, Testis - Sertoli cells",False,False,True,liver protein_3
EIF3CL,,,Cluster 66: Non-specific - Transcription,,False,False,False,non-liver protein
RABGAP1L,heart muscle: 117.0,,Cluster 70: Lymphoid tissue - Immune response,"Heart muscle - Cardiomyocytes, Testis - Early spermatids",False,False,False,non-liver protein
GPR89A,,,Cluster 1: Liver & Kidney - Metabolism,"Pituitary gland - Somatotropes, Testis - Early spermatids",False,True,False,liver protein_2
PPP1R3G,heart muscle: 5.7;liver: 6.0,6.0,Cluster 69: Liver - Oxidoreductase activity,"Skeletal muscle - Fibroblasts, Thyroid gland - Fibroblasts",True,True,False,liver protein (nTPM + cluster)
IGLL5,intestine: 397.1;lymphoid tissue: 656.5;stomach 1: 300.1,,Cluster 70: Lymphoid tissue - Immune response,,False,False,False,non-liver protein
WASH3P,,,,,False,False,False,non-liver protein
TMEM238,intestine: 15.4;stomach 1: 16.1,,Cluster 48: Stomach - Proteolysis,,False,False,False,non-liver protein
USP17L13,,,,,False,False,False,non-liver protein
MCRIP1,,,Cluster 43: Non-specific - Mitochondrial translation,,False,False,False,non-liver protein
PROB1,heart muscle: 22.5;skeletal muscle: 78.2,,Cluster 14: Skeletal muscle - Muscle contraction,"Breast - Breast glandular cells, Heart muscle - Cardiomyocytes, Liver - Vascular Endothelial cells",False,False,True,liver protein_3
NACA,,,Cluster 18: Non-specific - Ribosome,,False,False,False,non-liver protein
C11orf98,,,Cluster 54: Non-specific - Basic cellular processes,"Testis - Early spermatids, Testis - Late spermatids",False,False,False,non-liver protein
CNK3/IPCEF1,,,,,False,False,False,non-liver protein
SMLR1,liver: 54.9,54.9,Cluster 83: Liver - Metabolism,"Kidney - Proximal tubular cells, Liver - Hepatocytes",True,True,True,liver protein (all 3)
SLC35A4,,,Cluster 19: Non-specific - Basic cellular processes,Thyroid gland - Thyroid glandular cells,False,False,False,non-liver protein
DNASE2,,,Cluster 26: Adrenal gland - Steroid metabolism,"Adrenal gland - Adrenal cortex cells, Kidney - Fibroblasts, Lung - Macrophages, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
AGPS,,,Cluster 78: Testis - Transcription,"Adrenal gland - Adrenal cortex cells, Testis - Spermatocytes",False,False,False,non-liver protein
UBXN8,ovary: 120.3,,Cluster 16: Non-specific - Transcription,"Adrenal gland - Adrenal cortex cells, Spleen - Endothelial cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells",False,False,False,non-liver protein
KIF2A,,,Cluster 16: Non-specific - Transcription,Testis - Early spermatids,False,False,False,non-liver protein
